value4,value3,value1,value3,value5,0.854680955,0.033285347,0.923124641,0.452856097,0.519951151,class1
value2,value3,value5,value1,value2,0.030513229,0.691655379,0.851690894,0.056747143,0.408285096,class2
value5,value2,value3,value1,value1,0.334364973,0.796836153,0.171567583,0.164266748,0.593330908,class2
value1,value5,value4,value2,value3,0.232625644,0.616641656,0.608895402,0.247618999,0.839360088,class1
value5,value3,value5,value4,value5,0.825767802,0.104976863,0.847711204,0.747398068,0.808094584,class2
value2,value4,value4,value1,value5,0.050627222,0.130926066,0.057925811,0.460310197,0.467952734,class2
value2,value1,value4,value5,value4,0.582769593,0.920124571,0.539505942,0.418686247,0.428763422,class1
value5,value5,value3,value3,value3,0.563410696,0.097317595,0.161247809,0.633993401,0.52797218,class1
value1,value3,value4,value5,value5,0.872216873,0.939485265,0.24371329,0.803451694,0.812149128,class2
value1,value5,value1,value2,value1,0.661304972,0.732526473,0.705052012,0.531489819,9.66E-04,class2
value2,value4,value1,value2,value1,0.977128389,0.042274646,0.370952545,0.918723468,0.434139158,class2
value5,value5,value2,value4,value5,0.813470243,0.531948677,0.036826416,0.617187052,0.173676148,class2
value2,value2,value1,value2,value2,0.895166544,0.10752029,0.318918718,0.750394447,0.393086572,class1
value5,value1,value3,value2,value4,0.739211408,0.872907534,0.903941741,0.269021766,0.327317949,class1
value1,value3,value2,value2,value3,0.793256942,0.630187099,0.002009108,0.06442809,0.016169214,class2
value1,value4,value5,value2,value3,0.977304458,0.561813914,0.258807018,0.100512369,0.531516522,class1
value4,value1,value1,value5,value2,0.253674516,0.903739563,0.036469275,0.54059307,0.845222643,class2
value2,value5,value1,value2,value5,0.391610689,0.67619767,0.82266693,0.174410765,0.992273252,class2
value5,value2,value2,value1,value5,0.14799428,0.133419673,0.528052961,0.14424418,0.316610477,class1
value3,value1,value1,value2,value5,0.50261579,0.52478452,0.016089803,0.561024929,0.744649207,class1
value4,value2,value4,value3,value4,0.736662017,0.830056347,0.585335779,0.548517408,0.770689542,class1
value5,value1,value1,value2,value1,0.624942716,0.342524398,0.75103019,0.455812604,0.106534542,class2
value1,value3,value4,value3,value5,0.905696854,0.21447055,0.011241696,0.039935064,0.869947775,class2
value2,value1,value3,value4,value5,0.097350776,0.153263786,0.495382862,0.890120223,0.013333548,class2
value5,value3,value4,value5,value2,0.454070433,0.248785488,0.688200534,0.829391804,0.340755766,class1
value4,value2,value2,value2,value1,0.724028752,0.647327085,0.951021913,0.568454502,0.154174739,class2
value4,value5,value3,value2,value4,0.272681693,0.082259184,0.177231969,0.905933514,0.074126559,class2
value5,value2,value5,value3,value4,0.492067166,0.808014713,0.197526843,0.830208549,0.655685685,class1
value2,value1,value3,value2,value5,0.2771997,0.573967947,0.873523621,0.396641869,0.865122724,class1
value2,value4,value5,value2,value2,0.787949375,0.815659644,0.448745566,0.111383812,0.509776844,class1
value1,value3,value4,value1,value5,0.54545106,0.872341443,0.628479709,0.257114838,0.576117204,class2
value4,value5,value3,value2,value2,0.305262565,0.198281807,0.072155219,0.870010737,0.736935896,class2
value5,value3,value3,value5,value3,0.946620276,0.014893123,0.574367362,0.778749566,0.703384739,class1
value5,value2,value4,value3,value1,0.534504099,0.510641351,0.124925543,0.290830372,0.574170066,class2
value1,value1,value2,value4,value4,0.914921225,0.996542265,0.023047649,0.352072278,0.140388248,class2
value5,value2,value1,value1,value3,0.94293511,0.923719339,0.109964912,0.764640968,0.599758676,class1
value5,value5,value1,value2,value3,0.849675408,0.746545689,0.698921291,0.126067225,0.035706246,class2
value5,value2,value3,value1,value1,0.640714252,0.221055264,0.127955753,0.298166094,0.40632311,class2
value2,value1,value2,value1,value1,0.869552197,0.782472936,0.765368467,0.657065211,0.979182894,class2
value4,value5,value5,value4,value4,0.985500792,0.915615556,0.402419528,0.357724212,0.660963119,class2
value2,value4,value3,value2,value3,0.31580091,0.532630998,0.542114501,0.284980149,0.336084181,class1
value2,value1,value1,value3,value4,0.650231893,0.796843329,0.524350296,0.20820174,0.646776127,class2
value3,value1,value3,value2,value1,0.58230493,0.73220924,0.229094559,0.539416036,0.532148194,class2
value4,value1,value1,value4,value5,0.791868229,0.19691672,0.14685147,0.985125632,0.047293439,class2
value1,value2,value1,value2,value4,0.325943567,0.89005476,0.391608963,0.865743555,0.206827809,class2
value4,value5,value1,value4,value3,0.827306224,0.404504041,0.584585237,0.538597773,0.404247559,class1
value5,value3,value1,value3,value3,0.503682604,0.213495041,0.629077607,0.610635021,0.23955667,class1
value5,value4,value1,value1,value4,0.582946814,0.425144919,0.907269125,0.926609404,0.307521945,class2
value5,value3,value5,value1,value2,0.943388926,0.278191308,0.41409089,0.273423796,0.604490751,class1
value3,value4,value2,value5,value1,0.358050917,0.383144409,0.40521142,0.815088968,0.229906574,class2
value1,value1,value3,value2,value1,0.056562673,0.142338495,0.423608855,0.433211319,0.455155343,class2
value5,value4,value1,value3,value1,0.290487547,0.641383381,0.388689161,0.495436839,0.076021478,class2
value1,value1,value5,value2,value3,0.880323066,0.987791698,0.800252559,0.617590173,0.154683181,class1
value5,value2,value4,value1,value5,0.439438484,0.736517732,0.027685903,0.236005861,0.810793566,class1
value5,value5,value4,value5,value3,0.975793111,0.180792124,0.650134513,0.656956846,0.585522666,class1
value4,value2,value2,value3,value3,0.191657728,0.093361497,0.530852218,0.878469254,0.175556068,class1
value5,value5,value1,value1,value4,0.172333016,0.15565288,0.282190881,0.08155308,0.877113458,class2
value3,value4,value5,value1,value4,0.11038557,0.641525261,0.52690448,0.433570823,0.161916735,class2
value4,value3,value5,value3,value1,0.141178706,0.537935706,0.265434285,0.269033064,0.163529742,class2
value4,value2,value2,value1,value3,0.249228958,0.111973025,0.345470138,0.582051677,0.96948217,class2
value3,value1,value3,value5,value5,0.368556137,0.951763769,0.020024939,0.728723075,0.055862154,class1
